"","Date","No_Smoothing","Lowess.5."
"1",1880,-0.17,-0.1
"2",1881,-0.09,-0.13
"3",1882,-0.11,-0.17
"4",1883,-0.18,-0.2
"5",1884,-0.28,-0.24
"6",1885,-0.33,-0.26
"7",1886,-0.31,-0.27
"8",1887,-0.36,-0.27
"9",1888,-0.17,-0.26
"10",1889,-0.1,-0.25
"11",1890,-0.35,-0.25
"12",1891,-0.22,-0.26
"13",1892,-0.27,-0.27
"14",1893,-0.32,-0.26
"15",1894,-0.32,-0.24
"16",1895,-0.23,-0.23
"17",1896,-0.11,-0.21
"18",1897,-0.11,-0.18
"19",1898,-0.27,-0.17
"20",1899,-0.18,-0.17
"21",1900,-0.08,-0.2
"22",1901,-0.16,-0.23
"23",1902,-0.28,-0.26
"24",1903,-0.37,-0.28
"25",1904,-0.47,-0.31
"26",1905,-0.26,-0.34
"27",1906,-0.22,-0.36
"28",1907,-0.39,-0.37
"29",1908,-0.43,-0.39
"30",1909,-0.48,-0.41
"31",1910,-0.43,-0.41
"32",1911,-0.44,-0.39
"33",1912,-0.36,-0.35
"34",1913,-0.34,-0.32
"35",1914,-0.15,-0.31
"36",1915,-0.14,-0.3
"37",1916,-0.36,-0.3
"38",1917,-0.46,-0.3
"39",1918,-0.3,-0.3
"40",1919,-0.28,-0.3
"41",1920,-0.27,-0.28
"42",1921,-0.19,-0.27
"43",1922,-0.29,-0.26
"44",1923,-0.27,-0.24
"45",1924,-0.27,-0.23
"46",1925,-0.22,-0.22
"47",1926,-0.11,-0.22
"48",1927,-0.22,-0.21
"49",1928,-0.2,-0.2
"50",1929,-0.36,-0.19
"51",1930,-0.16,-0.19
"52",1931,-0.09,-0.18
"53",1932,-0.15,-0.17
"54",1933,-0.28,-0.16
"55",1934,-0.12,-0.15
"56",1935,-0.2,-0.13
"57",1936,-0.14,-0.1
"58",1937,-0.02,-0.06
"59",1938,0,-0.01
"60",1939,-0.01,0.04
"61",1940,0.13,0.07
"62",1941,0.19,0.09
"63",1942,0.07,0.11
"64",1943,0.09,0.1
"65",1944,0.21,0.08
"66",1945,0.09,0.04
"67",1946,-0.07,0.01
"68",1947,-0.02,-0.03
"69",1948,-0.1,-0.07
"70",1949,-0.11,-0.08
"71",1950,-0.17,-0.07
"72",1951,-0.07,-0.07
"73",1952,0.01,-0.07
"74",1953,0.08,-0.07
"75",1954,-0.13,-0.06
"76",1955,-0.14,-0.06
"77",1956,-0.19,-0.05
"78",1957,0.05,-0.04
"79",1958,0.06,-0.01
"80",1959,0.03,0.01
"81",1960,-0.03,0.03
"82",1961,0.06,0.01
"83",1962,0.03,-0.01
"84",1963,0.05,-0.03
"85",1964,-0.2,-0.04
"86",1965,-0.11,-0.05
"87",1966,-0.06,-0.06
"88",1967,-0.02,-0.05
"89",1968,-0.08,-0.03
"90",1969,0.05,-0.02
"91",1970,0.02,-0.01
"92",1971,-0.08,0
"93",1972,0.01,0
"94",1973,0.16,0
"95",1974,-0.07,0.01
"96",1975,-0.01,0.02
"97",1976,-0.1,0.04
"98",1977,0.18,0.07
"99",1978,0.07,0.12
"100",1979,0.16,0.16
"101",1980,0.26,0.2
"102",1981,0.32,0.21
"103",1982,0.14,0.22
"104",1983,0.31,0.21
"105",1984,0.16,0.21
"106",1985,0.12,0.22
"107",1986,0.18,0.24
"108",1987,0.32,0.27
"109",1988,0.39,0.31
"110",1989,0.27,0.33
"111",1990,0.45,0.33
"112",1991,0.4,0.33
"113",1992,0.22,0.33
"114",1993,0.23,0.33
"115",1994,0.32,0.34
"116",1995,0.45,0.37
"117",1996,0.33,0.4
"118",1997,0.46,0.42
"119",1998,0.61,0.44
"120",1999,0.38,0.47
"121",2000,0.39,0.5
"122",2001,0.53,0.52
"123",2002,0.63,0.55
"124",2003,0.62,0.58
"125",2004,0.53,0.61
"126",2005,0.67,0.62
"127",2006,0.63,0.62
"128",2007,0.66,0.63
"129",2008,0.54,0.64
"130",2009,0.65,0.64
"131",2010,0.72,0.64
"132",2011,0.61,0.66
"133",2012,0.65,0.69
"134",2013,0.67,0.74
"135",2014,0.74,0.78
"136",2015,0.89,0.83
"137",2016,1.01,0.87
"138",2017,0.92,0.91
"139",2018,0.85,0.92
"140",2019,0.98,0.93
"141",2020,1.02,0.93
"142",2021,0.84,0.94
