"","Date","month","data.type","hemisphere","extent","area","rank"
"1",1979,9,"Goddard","N","7,05",4.58,"33"
"2",1980,9,"Goddard","N","7,67",4.87,"43"
"3",1981,9,"Goddard","N","7,14",4.44,"34,5"
"4",1982,9,"Goddard","N","7,3",4.43,"37"
"5",1983,9,"Goddard","N","7,39",4.7,"39"
"6",1984,9,"Goddard","N","6,81",4.11,"31"
"7",1985,9,"Goddard","N","6,7",4.23,"29"
"8",1986,9,"Goddard","N","7,41",4.72,"40"
"9",1987,9,"Goddard","N","7,28",5.64,"36"
"10",1988,9,"Goddard","N","7,37",5.36,"38"
"11",1989,9,"Goddard","N","7,01",4.86,"32"
"12",1990,9,"Goddard","N","6,14",4.55,"23"
"13",1991,9,"Goddard","N","6,47",4.51,"26"
"14",1992,9,"Goddard","N","7,47",5.43,"41"
"15",1993,9,"Goddard","N","6,4",4.58,"25"
"16",1994,9,"Goddard","N","7,14",5.13,"34,5"
"17",1995,9,"Goddard","N","6,08",4.43,"20"
"18",1996,9,"Goddard","N","7,58",5.62,"42"
"19",1997,9,"Goddard","N","6,69",4.89,"28"
"20",1998,9,"Goddard","N","6,54",4.3,"27"
"21",1999,9,"Goddard","N","6,12",4.29,"21,5"
"22",2000,9,"Goddard","N","6,25",4.35,"24"
"23",2001,9,"Goddard","N","6,73",4.59,"30"
"24",2002,9,"Goddard","N","5,83",4.03,"17"
"25",2003,9,"Goddard","N","6,12",4.05,"21,5"
"26",2004,9,"Goddard","N","5,98",4.39,"19"
"27",2005,9,"Goddard","N","5,5",4.07,"16"
"28",2006,9,"Goddard","N","5,86",4.01,"18"
"29",2007,9,"Goddard","N","4,27",2.82,"3"
"30",2008,9,"Goddard","N","4,69",3.26,"8"
"31",2009,9,"Goddard","N","5,26",3.76,"15"
"32",2010,9,"Goddard","N","4,87",3.34,"11"
"33",2011,9,"Goddard","N","4,56",3.21,"6"
"34",2012,9,"Goddard","N","3,57",2.41,"1"
"35",2013,9,"Goddard","N","5,21",3.78,"13"
"36",2014,9,"Goddard","N","5,22",3.74,"14"
"37",2015,9,"Goddard","N","4,62",3.42,"7"
"38",2016,9,"Goddard","N","4,53",2.91,"5"
"39",2017,9,"Goddard","N","4,82",3.35,"10"
"40",2018,9,"Goddard","N","4,79",3.35,"9"
"41",2019,9,"Goddard","N","4,36",3.17,"4"
"42",2020,9,"Goddard","N","4",2.83,"2"
"43",2021,9,"NRTSI-G","N","4,92",3.43,"12"
